┌────────────┬───────────────┬──────────────────────┐
│    date    │ precipitation │ seven_day_moving_avg │
│    date    │    double     │        double        │
├────────────┼───────────────┼──────────────────────┤
│ 2013-07-01 │          0.84 │               0.3625 │
│ 2013-07-02 │          0.08 │                 0.29 │
│ 2013-07-03 │          0.53 │  0.24166666666666667 │
│ 2013-07-04 │           0.0 │  0.20714285714285713 │
│ 2013-07-05 │           0.0 │  0.11857142857142856 │
│ 2013-07-06 │           0.0 │  0.13999999999999999 │
│ 2013-07-07 │           0.0 │   0.0642857142857143 │
│ 2013-07-08 │          0.22 │   0.0642857142857143 │
│ 2013-07-09 │          0.23 │  0.09999999999999999 │
│ 2013-07-10 │           0.0 │  0.10857142857142857 │
│ 2013-07-11 │           0.0 │  0.10857142857142857 │
│ 2013-07-12 │          0.25 │  0.07714285714285715 │
│ 2013-07-13 │          0.06 │  0.04428571428571428 │
│ 2013-07-14 │           0.0 │  0.04428571428571428 │
│ 2013-07-15 │           0.0 │  0.04428571428571428 │
│ 2013-07-16 │           0.0 │ 0.008571428571428572 │
│ 2013-07-17 │           0.0 │                  0.0 │
│ 2013-07-18 │           0.0 │                  0.0 │
│ 2013-07-19 │           0.0 │ 0.008571428571428572 │
│ 2013-07-20 │           0.0 │  0.05285714285714286 │
│     ·      │            ·  │            ·         │
│     ·      │            ·  │            ·         │
│     ·      │            ·  │            ·         │
│ 2021-08-12 │           0.0 │   0.1442857142857143 │
│ 2021-08-13 │           0.0 │   0.1442857142857143 │
│ 2021-08-14 │           0.0 │ 0.025714285714285714 │
│ 2021-08-15 │           0.0 │                  0.0 │
│ 2021-08-16 │           0.0 │ 0.028571428571428574 │
│ 2021-08-17 │           0.0 │ 0.028571428571428574 │
│ 2021-08-18 │           0.0 │   0.6642857142857144 │
│ 2021-08-19 │           0.2 │   1.0457142857142858 │
│ 2021-08-20 │           0.0 │   1.1985714285714286 │
│ 2021-08-21 │          4.45 │   1.1985714285714286 │
│ 2021-08-22 │          2.67 │   1.1985714285714286 │
│ 2021-08-23 │          1.07 │                 1.17 │
│ 2021-08-24 │           0.0 │   1.2657142857142856 │
│ 2021-08-25 │           0.0 │                 0.63 │
│ 2021-08-26 │           0.0 │   0.2485714285714286 │
│ 2021-08-27 │          0.67 │  0.09571428571428572 │
│ 2021-08-28 │           0.0 │  0.09571428571428572 │
│ 2021-08-29 │           0.0 │  0.11166666666666668 │
│ 2021-08-30 │           0.0 │                0.134 │
│ 2021-08-31 │           0.0 │                  0.0 │
├────────────┴───────────────┴──────────────────────┤
│ 2984 rows (40 shown)                    3 columns │
└───────────────────────────────────────────────────┘
